Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
Icon Esports,15,LAT,12,0.5,0.81,1734,-157,1900-01-01 08:15:00,15.1,18.7,5.7,6.5,33.3,25.0,33.3,2.5,52.1,2.3,50.0,33.3,1.08,-0.7,-1751.0,1.92,0.75,66.7,30.2,2753.0,2.8,0.88,1.14,3
INFINITY,15,LAT,9,0.889,1.86,1945,291,1900-01-01 07:27:00,21.3,11.4,8.1,3.2,88.9,77.8,77.8,2.44,58.0,3.6,66.7,66.7,0.89,1.0,1980.0,6.0,0.33,60.0,32.8,3016.0,2.9,0.96,1.27,3
Inside Games,15,CZ,6,0.333,0.76,1757,-169,1900-01-01 00:25:00,11.3,14.8,3.8,6.5,50.0,50.0,33.3,1.33,38.9,1.8,16.7,33.3,0.67,-0.7,-2397.0,4.33,0.17,100.0,31.3,2286.0,2.3,0.56,0.75,3
Invictus Gaming,15,CN,34,0.588,1.2,1895,110,1900-01-01 09:45:00,18.0,15.0,6.8,5.0,47.1,55.9,58.8,2.79,62.9,2.6,61.8,47.25,0.83,-0.1,386.0,4.18,0.71,63.6,32.9,2872.0,3.1,1.19,1.62,1
Isurus Estral,15,LAT,14,0.429,0.77,1793,-47,1900-01-01 10:02:00,11.7,15.2,5.9,6.7,50.0,42.9,35.7,2.07,46.8,2.6,57.1,21.4,0.86,-0.6,-852.0,4.29,0.64,42.4,33.0,2677.0,3.1,1.34,1.43,3
IZI Dream,15,FR,26,0.538,1.14,1846,14,1900-01-01 08:15:00,18.0,15.8,6.3,5.9,65.4,42.3,42.3,1.96,44.9,2.2,53.8,57.7,0.88,-0.2,209.0,5.19,0.58,48.6,31.4,2700.0,2.8,0.86,1.19,3
JD Gaming,15,CN,41,0.634,1.15,1899,124,1900-01-01 08:45:00,14.6,12.6,7.3,5.0,48.8,53.7,31.7,2.07,50.4,3.0,63.4,47.25,0.83,-0.1,605.0,4.18,0.54,54.0,34.2,2706.0,3.7,1.34,1.44,1
Joblife,15,FR,12,0.333,0.78,1755,-130,1900-01-01 10:50:00,11.0,14.2,5.0,7.8,25.0,58.3,41.7,2.42,48.8,3.3,33.3,50.0,0.83,0.1,-48.0,3.75,0.58,34.7,32.7,2430.0,2.9,1.03,1.33,3
Jormungang,15,NL,15,0.4,0.73,1784,-115,1900-01-01 07:51:00,13.7,18.6,5.8,7.5,53.3,26.7,26.7,1.8,38.9,2.7,40.0,40.0,0.73,-0.2,-1251.0,3.07,0.47,42.3,31.7,2473.0,2.6,0.59,1.03,3
KaBuM! Ilha das Lendas,15,BR,12,0.583,1.03,1834,46,1900-01-01 09:01:00,15.0,14.4,7.1,5.9,66.7,41.7,41.7,1.92,46.4,3.8,33.3,50.0,0.67,0.3,494.0,3.83,0.5,55.6,33.3,2631.0,3.3,1.37,1.53,3
