Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
KRC Genk Esports,11,BE,29,0.448,0.88,1706,-97,1900-01-01 07:21:00,14.3,16.3,4.6,6.6,41.4,48.3,47.599999999999994,2.31,50.7,2.8,43.1,47.25,0.93,-0.3,-1122.0,4.18,0.48,39.7,29.6,1857.0,2.7,1.16,1.15,3
KT Challengers,11,KR,48,0.479,1.09,1745,-13,1900-01-01 10:26:00,13.3,12.2,6.0,6.1,62.5,60.4,47.599999999999994,2.65,55.8,2.8,50.0,47.25,0.92,0.2,14.0,4.18,0.79,51.4,32.1,1786.0,3.6,1.73,1.76,1
KT Rolster,11,KR,98,0.439,0.95,1758,-55,1900-01-01 09:19:00,11.7,12.3,5.1,6.3,49.0,38.8,47.599999999999994,1.94,41.0,2.8,44.4,47.25,0.68,-0.4,-343.0,4.18,0.63,42.0,34.0,1799.0,3.8,1.56,1.75,1
KV Mechelen Esports,11,BE,45,0.733,1.32,1835,136,1900-01-01 07:51:00,17.7,13.4,7.1,4.5,60.0,55.6,47.599999999999994,2.98,62.5,2.8,64.4,47.25,1.2,0.2,774.0,4.18,0.67,57.5,30.9,2048.0,2.9,1.07,1.26,3
LDLC OL,11,FR,40,0.4,0.85,1749,-63,1900-01-01 09:48:00,13.1,15.3,5.7,6.8,45.0,47.5,47.599999999999994,2.15,42.4,2.8,27.5,47.25,0.78,-0.3,-258.0,4.18,0.65,37.1,32.4,2082.0,3.2,1.1,1.3,3
Legacy Esports,11,OCE,35,0.314,0.75,1697,-179,1900-01-01 07:08:00,13.9,18.5,4.6,7.2,57.1,42.9,47.599999999999994,2.03,44.2,2.8,40.0,47.25,0.8,-0.2,-1079.0,4.18,0.51,34.3,29.8,1962.0,3.0,1.08,1.2,3
LGD Gaming,11,CN,77,0.364,0.8,1729,-132,1900-01-01 07:02:00,12.0,14.9,4.7,6.8,36.4,33.8,47.599999999999994,1.92,41.5,2.8,39.7,47.25,0.73,-0.4,-1997.0,4.18,0.47,38.0,32.2,1871.0,3.1,1.23,1.56,1
Liiv SANDBOX,11,KR,101,0.446,0.85,1764,-51,1900-01-01 09:06:00,11.2,13.2,5.7,6.3,42.6,55.4,47.599999999999994,2.29,50.4,2.8,58.4,47.25,0.82,0.0,-88.0,4.18,0.58,43.0,33.7,1793.0,3.7,1.59,1.86,1
Liyab Esports,11,PCS,40,0.175,0.61,1627,-306,1900-01-01 05:01:00,10.6,17.5,2.8,8.3,45.0,30.0,47.599999999999994,1.55,35.2,2.8,40.0,47.25,0.68,-1.3,-2642.0,4.18,0.28,24.5,30.1,1686.0,2.9,1.22,1.2,3
LNG Esports,11,CN,124,0.532,1.13,1795,29,1900-01-01 07:42:00,13.1,11.6,5.8,5.7,50.0,46.0,47.599999999999994,2.05,48.1,2.8,40.6,47.25,0.68,0.0,-29.0,4.73,0.57,47.6,33.3,1871.0,3.4,1.19,1.5,1
LOUD,11,BR,44,0.523,1.04,1778,1,1900-01-01 08:57:00,14.6,14.0,6.7,6.0,54.5,59.1,47.599999999999994,2.09,44.4,2.8,42.0,47.25,0.84,-0.1,-443.0,4.18,0.75,52.0,31.7,1927.0,3.5,1.44,1.42,3
LOUD Academy,11,BR,44,0.568,1.07,1778,53,1900-01-01 09:58:00,14.7,13.7,6.5,5.8,56.8,54.5,47.599999999999994,2.75,57.1,2.8,55.7,47.25,1.18,0.2,272.0,4.18,0.89,57.5,31.4,2039.0,3.4,1.41,1.3,3
LowLandLions,11,NL,20,0.4,0.83,1712,-65,1900-01-01 07:40:00,11.9,14.3,5.3,6.6,40.0,50.0,47.599999999999994,2.0,43.1,2.8,57.5,47.25,1.1,0.2,-125.0,4.18,0.4,35.2,31.5,1844.0,3.3,1.21,1.21,3
LSB Challengers,11,KR,46,0.457,1.0,1774,3,1900-01-01 09:31:00,12.8,12.8,5.6,6.0,43.5,30.4,47.599999999999994,2.24,45.9,2.8,67.4,47.25,0.78,-0.2,-51.0,4.18,0.72,50.8,33.5,1839.0,3.7,1.64,1.68,1
Luxury Esports,11,VN,76,0.434,0.84,1847,-34,1900-01-01 05:50:00,15.6,18.6,5.4,6.4,39.5,43.4,47.599999999999994,2.04,49.4,2.8,34.9,47.25,0.91,-0.4,-763.0,4.75,0.64,51.2,32.9,2244.0,3.2,1.26,1.4,3
Machi E-Sports,11,PCS,66,0.682,1.43,1854,183,1900-01-01 06:39:00,15.8,11.0,7.4,4.0,59.1,59.1,47.599999999999994,2.27,54.9,2.8,51.5,47.25,0.88,0.5,1079.0,4.18,0.77,66.8,32.2,2055.0,3.4,1.33,1.53,3
Macko Esports,11,IT,69,0.623,1.26,1811,120,1900-01-01 07:14:00,15.2,12.1,7.0,4.7,53.6,60.9,47.599999999999994,2.83,62.9,2.8,56.5,47.25,1.13,0.3,913.0,4.18,0.71,59.7,31.8,2024.0,3.2,1.3,1.3,3
MAD Lions,11,EUW,92,0.609,1.1,1851,78,1900-01-01 09:05:00,16.0,14.5,7.4,5.7,55.4,52.2,47.599999999999994,2.27,51.9,2.8,60.3,47.25,0.74,0.1,111.0,5.27,0.97,60.2,32.6,2051.0,3.5,1.28,1.57,2
MAD Lions Madrid,11,ES,39,0.513,1.19,1762,22,1900-01-01 10:28:00,13.8,11.6,6.4,6.4,53.8,48.7,47.599999999999994,2.72,52.8,2.8,53.8,47.25,1.21,0.1,326.0,4.18,0.72,48.7,32.2,1887.0,3.4,1.32,1.46,3
MAMMOTH,11,OCE,34,0.118,0.57,1617,-336,1900-01-01 05:22:00,11.5,20.0,2.9,8.3,52.9,47.1,47.599999999999994,1.35,29.9,2.8,39.7,47.25,0.74,-0.8,-2286.0,4.18,0.26,20.4,28.5,1702.0,3.0,1.36,1.13,3
MCES Academy,11,FR,18,0.222,0.57,1659,-232,1900-01-01 08:04:00,11.4,19.9,3.6,7.6,50.0,33.3,47.599999999999994,1.33,27.4,2.8,38.9,47.25,0.39,-0.6,-1731.0,4.18,0.78,36.1,30.0,1931.0,2.9,1.11,1.25,3
mCon esports Rotterdam,11,NL,41,0.537,1.01,1790,22,1900-01-01 07:28:00,16.8,16.6,6.5,5.5,53.7,53.7,47.599999999999994,2.37,51.5,2.8,56.1,47.25,0.9,0.0,185.0,4.18,0.78,58.1,30.2,2138.0,2.8,1.1,1.23,3
Medieval Riga,11,LT,20,0.1,0.45,1609,-487,1900-01-01 04:54:00,12.4,27.4,2.1,9.3,55.0,5.0,47.599999999999994,1.0,24.4,2.8,25.0,47.25,0.7,-1.6,-4543.0,4.18,0.45,29.4,26.8,1981.0,2.4,0.87,0.89,3
Method2Madness,11,LT,37,0.432,0.97,1813,0,1900-01-01 06:42:00,18.1,18.6,5.9,5.6,51.4,81.1,47.599999999999994,1.97,45.9,2.8,71.6,47.25,0.95,0.6,895.0,4.18,0.78,54.1,30.0,2138.0,2.7,1.05,1.01,3
Misfits Gaming,11,EUW,46,0.522,0.99,1796,16,1900-01-01 08:35:00,13.7,13.8,6.0,5.8,54.3,54.3,47.599999999999994,2.46,55.3,2.8,52.2,47.25,0.83,0.2,204.0,4.18,0.72,51.9,32.8,1974.0,3.2,1.26,1.42,2
Misfits Premier,11,FR,83,0.651,1.23,1844,131,1900-01-01 07:12:00,15.9,13.0,7.2,4.6,71.1,71.1,47.599999999999994,2.59,61.8,2.8,65.7,47.25,1.11,0.8,1741.0,4.18,0.77,58.5,32.0,2086.0,3.5,1.39,1.34,3
Mkers,11,IT,58,0.483,0.96,1764,0,1900-01-01 07:20:00,13.7,14.2,6.1,5.9,51.7,51.7,47.599999999999994,2.1,46.4,2.8,52.6,47.25,0.88,-0.1,220.0,4.18,0.67,50.2,31.4,1935.0,3.0,1.24,1.33,3
MnM Gaming,11,EUW,11,0.091,0.6,1630,-297,1900-01-01 07:43:00,11.8,19.7,3.1,9.1,63.6,18.2,47.599999999999994,1.36,27.3,2.8,40.9,47.25,0.73,-0.7,-1766.0,4.18,0.18,6.8,29.9,1856.0,3.3,1.09,1.15,3
Mousesports,11,DE,97,0.629,1.18,1839,104,1900-01-01 07:42:00,16.8,14.1,7.2,5.2,51.5,60.8,47.599999999999994,2.42,54.4,2.8,71.1,47.25,0.96,0.5,1120.0,4.18,0.85,63.8,31.5,2267.0,3.1,1.14,1.18,3
Movistar Riders,11,ES,64,0.641,1.25,1853,116,1900-01-01 07:09:00,16.2,13.0,6.9,4.9,48.4,60.9,47.599999999999994,2.52,58.3,2.8,64.8,47.25,1.0,0.2,857.0,4.18,0.81,59.0,32.3,2008.0,3.3,1.37,1.27,3
NASR eSports Turkey,11,TR,47,0.617,1.11,1807,96,1900-01-01 07:30:00,12.8,11.5,6.6,4.4,51.1,72.3,47.599999999999994,2.53,58.4,2.8,57.4,47.25,1.15,0.6,1040.0,4.18,0.79,56.9,32.9,1869.0,3.4,1.3,1.46,3
Netshoes Miners,11,BR,36,0.306,0.76,1669,-156,1900-01-01 08:27:00,11.5,15.1,4.3,7.6,50.0,19.4,47.599999999999994,1.97,42.1,2.8,33.3,47.25,0.81,-0.6,-1014.0,4.18,0.64,40.0,30.6,1757.0,3.2,1.25,1.22,3
Nexus KTRL,11,RS,28,0.429,1.06,1707,-65,1900-01-01 07:29:00,14.0,13.2,4.5,6.3,50.0,46.4,47.599999999999994,2.5,50.8,2.8,48.2,47.25,0.89,-0.4,-453.0,4.18,0.64,41.3,30.6,1867.0,2.7,0.89,1.06,3
NK Osijek Esport,11,RS,15,0.067,0.57,1603,-373,1900-01-01 06:03:00,11.1,19.5,2.3,9.5,26.7,33.3,47.599999999999994,1.73,40.0,2.8,30.0,47.25,1.07,-1.4,-2777.0,4.18,0.33,16.7,28.6,1720.0,2.6,0.97,1.14,3
NM Academy,11,BR,36,0.278,0.74,1656,-150,1900-01-01 09:35:00,11.3,15.3,4.7,8.0,47.2,41.7,47.599999999999994,1.64,33.3,2.8,36.1,47.25,0.47,-0.4,-856.0,4.18,0.53,32.9,30.4,1792.0,3.2,1.46,1.35,3
No Name Esport,11,PL,5,0.2,0.54,1566,-267,1900-01-01 07:02:00,8.6,15.8,3.2,7.2,20.0,47.2,47.599999999999994,1.6,35.0,2.8,40.0,47.25,0.6,-1.2,-3318.0,4.18,0.2,25.0,28.9,1565.0,2.8,0.96,1.0,3
No Org,11,NA,17,0.765,1.31,1888,239,1900-01-01 05:11:00,14.9,11.4,7.5,2.8,64.7,82.4,47.599999999999994,2.06,52.5,2.8,70.6,47.25,0.82,0.6,1522.0,4.18,1.06,79.4,33.4,2076.0,3.1,1.28,1.47,2
Nongshim RedForce,11,KR,117,0.496,0.94,1758,-24,1900-01-01 09:24:00,12.2,12.9,5.8,5.9,39.3,42.7,47.599999999999994,2.34,49.2,2.8,50.0,47.25,0.85,-0.1,-638.0,4.18,0.68,48.8,32.9,1926.0,3.7,1.32,1.82,1
Nordavind,11,EUW,42,0.524,0.96,1777,37,1900-01-01 07:12:00,12.9,13.3,6.5,5.3,57.1,47.6,47.599999999999994,2.4,53.3,2.8,41.7,47.25,1.1,0.0,-11.0,4.18,0.76,60.4,32.3,1878.0,2.9,0.98,1.4,3
NS Challengers,11,KR,47,0.511,0.85,1772,-17,1900-01-01 08:32:00,12.3,14.5,5.6,5.8,48.9,59.6,47.599999999999994,2.36,53.0,2.8,52.1,47.25,1.02,0.0,18.0,4.18,0.85,60.1,33.1,1860.0,3.5,1.46,1.66,1
OFFSET Esports,11,PT,43,0.535,0.97,1770,4,1900-01-01 09:17:00,15.4,15.7,5.7,6.3,41.9,37.2,47.599999999999994,2.58,51.8,2.8,36.0,47.25,1.0,-0.3,-344.0,4.18,0.65,47.2,31.2,2045.0,3.0,1.09,1.21,3
Olympiacos Alimou,11,GR,19,0.526,1.05,1717,-32,1900-01-01 09:00:00,15.3,14.5,6.3,6.2,52.6,42.1,47.599999999999994,2.84,58.7,2.8,63.2,47.25,1.42,0.3,-217.0,4.18,0.68,55.3,28.5,2063.0,3.0,1.2,1.3,3
OMG,11,CN,83,0.398,0.83,1726,-134,1900-01-01 05:59:00,11.8,14.3,4.5,6.7,50.6,34.9,47.599999999999994,2.06,47.9,2.8,46.5,47.25,1.0,-0.2,-1463.0,4.18,0.58,45.0,32.0,1837.0,3.1,1.19,1.42,1
One Breath Gaming,11,CIS,43,0.651,1.33,1780,130,1900-01-01 10:01:00,14.1,10.6,7.3,4.8,72.1,55.8,47.599999999999994,2.28,44.8,2.8,59.3,47.25,0.86,0.5,1269.0,4.18,1.0,67.7,31.3,2053.0,3.1,1.31,1.34,3
ORDER,11,OCE,46,0.522,0.98,1771,-4,1900-01-01 07:56:00,14.4,14.6,6.0,6.0,54.3,47.8,47.599999999999994,2.35,49.3,2.8,46.7,47.25,0.98,-0.2,-293.0,4.18,0.72,53.8,31.6,1903.0,3.0,1.25,1.23,3
Outplayed,11,IT,52,0.558,1.16,1799,70,1900-01-01 06:03:00,15.5,13.3,6.2,5.1,59.6,51.9,47.599999999999994,2.38,55.6,2.8,54.8,47.25,1.08,0.2,290.0,4.18,0.71,61.0,31.0,2086.0,3.1,1.17,1.27,3
paiN Academy,11,BR,47,0.468,0.92,1767,7,1900-01-01 08:58:00,13.6,14.9,6.3,6.2,48.9,38.3,47.599999999999994,2.21,47.5,2.8,52.1,47.25,0.94,-0.2,-365.0,4.18,0.83,56.3,31.4,1985.0,3.4,1.55,1.51,3
paiN Gaming,11,BR,61,0.623,1.1,1860,116,1900-01-01 07:19:00,16.3,14.7,7.4,5.2,50.8,60.7,47.599999999999994,2.7,62.0,2.8,49.2,47.25,1.16,0.6,884.0,4.18,0.8,62.0,32.5,2073.0,3.5,1.48,1.48,3
PDW,11,PL,66,0.545,1.13,1762,40,1900-01-01 08:51:00,12.9,11.3,6.2,5.4,53.0,56.1,47.599999999999994,2.26,47.6,2.8,54.5,47.25,0.92,0.0,463.0,4.18,0.61,52.1,32.2,1803.0,3.1,1.36,1.32,3
PEACE,11,OCE,78,0.59,1.23,1817,92,1900-01-01 07:23:00,15.3,12.3,6.7,5.1,57.7,66.7,47.599999999999994,2.45,54.0,2.8,59.0,47.25,1.12,0.5,1163.0,5.42,0.76,57.4,32.5,1941.0,3.2,1.3,1.4,3
PENTA 1860,11,DE,50,0.42,0.79,1763,-116,1900-01-01 06:04:00,13.9,17.6,5.1,6.7,36.0,28.0,47.599999999999994,1.94,41.7,2.8,36.0,47.25,0.8,-0.6,-910.0,4.18,0.54,47.4,31.7,1901.0,3.0,1.22,1.24,3
Pentanet.GG,11,OCE,69,0.594,1.15,1798,54,1900-01-01 06:29:00,14.2,12.2,6.3,5.1,39.1,37.7,47.599999999999994,2.62,58.0,2.8,39.9,47.25,0.93,-0.5,-653.0,4.18,0.72,64.5,32.6,1850.0,3.1,1.2,1.3,3
PIGSPORTS,11,LT,15,0.667,1.36,1887,131,1900-01-01 05:46:00,22.3,16.3,6.5,4.3,53.3,33.3,47.599999999999994,2.6,55.9,2.8,46.7,47.25,0.87,-0.3,445.0,4.18,0.53,46.4,30.5,2363.0,2.3,0.75,1.0,3
piratesports,11,PL,6,0.333,0.8,1763,-101,1900-01-01 05:13:00,17.3,21.3,5.0,6.8,66.7,66.7,47.599999999999994,2.17,45.8,2.8,50.0,47.25,1.0,0.0,483.0,4.18,0.5,40.0,28.1,2015.0,2.3,0.83,1.04,3
Plonace Garnitury,11,PL,7,0.286,0.78,1728,-168,1900-01-01 06:03:00,14.9,19.0,4.4,7.6,57.1,42.9,47.599999999999994,2.0,45.8,2.8,50.0,47.25,0.43,-0.6,-2156.0,4.18,0.29,40.0,28.6,1855.0,3.6,1.32,1.08,3
PSG Talon,11,PCS,87,0.793,1.94,1924,272,1900-01-01 06:40:00,17.4,9.0,8.1,3.4,64.4,64.4,47.599999999999994,2.56,62.6,2.8,59.8,47.25,0.93,0.6,1808.0,3.83,0.92,77.7,33.7,2035.0,3.4,1.22,1.65,3
PSV Esports,11,NL,42,0.619,1.3,1813,109,1900-01-01 08:40:00,16.3,12.6,6.7,5.0,54.8,61.9,47.599999999999994,3.0,62.5,2.8,60.7,47.25,1.05,0.3,767.0,4.18,0.95,62.2,32.2,2168.0,3.1,1.2,1.19,3
Rainbow7,11,LAT,41,0.512,1.11,1755,37,1900-01-01 11:32:00,14.5,13.0,6.2,6.1,63.4,51.2,47.599999999999994,2.61,49.1,2.8,43.9,47.25,1.0,0.1,272.0,4.18,0.78,49.2,31.6,2022.0,3.1,1.26,1.56,3
Rare Atom,11,CN,105,0.571,1.07,1809,56,1900-01-01 08:05:00,13.1,12.2,6.1,5.3,50.5,43.8,47.599999999999994,2.57,55.3,2.8,46.4,47.25,0.86,0.0,479.0,4.18,0.68,52.4,34.0,2022.0,3.4,1.11,1.73,1
Rascal Jester,11,JP,44,0.568,1.04,1729,14,1900-01-01 08:59:00,13.2,12.6,6.2,5.2,27.3,40.9,47.599999999999994,2.39,50.5,2.8,42.0,47.25,1.02,0.1,-154.0,4.18,0.64,52.4,31.2,1951.0,3.3,1.2,1.67,3
RED Academy,11,BR,49,0.531,1.02,1711,-34,1900-01-01 09:07:00,13.1,12.8,6.4,6.1,38.8,34.7,47.599999999999994,2.51,52.3,2.8,42.9,47.25,1.04,-0.4,-1017.0,4.18,0.78,51.4,30.7,1788.0,3.2,1.5,1.34,3
RED Canids,11,BR,64,0.594,1.16,1817,49,1900-01-01 07:22:00,16.0,13.8,6.7,5.8,51.6,46.9,47.599999999999994,2.34,54.4,2.8,53.9,47.25,0.97,-0.1,346.0,3.22,0.77,54.4,32.1,1974.0,3.5,1.6,1.24,3
Rensga Academy,11,BR,45,0.444,0.91,1734,-68,1900-01-01 06:19:00,14.2,15.6,5.3,6.2,55.6,60.0,47.599999999999994,2.22,50.2,2.8,43.3,47.25,1.07,0.2,-9.0,4.18,0.51,41.5,30.9,1972.0,3.1,1.41,1.28,3
Rensga eSports,11,BR,48,0.458,0.86,1759,-56,1900-01-01 06:41:00,13.9,16.1,5.7,6.5,52.1,50.0,47.599999999999994,2.15,54.5,2.8,53.1,47.25,0.81,-0.1,-608.0,4.18,0.6,47.4,31.1,2122.0,3.2,1.33,1.38,3
Resolve,11,EUW,16,0.313,0.92,1713,-94,1900-01-01 09:11:00,14.4,15.8,5.9,7.6,56.3,62.5,47.599999999999994,2.06,41.9,2.8,68.8,47.25,1.0,-0.1,-356.0,4.18,0.5,30.2,29.9,2088.0,3.1,1.26,1.25,3
Resolve NA,11,NA,9,0.556,1.12,1733,-45,1900-01-01 10:13:00,15.4,13.8,7.1,6.6,44.4,44.4,47.599999999999994,2.78,59.4,2.8,38.9,47.25,0.89,0.1,-1736.0,4.18,0.78,50.0,29.5,2010.0,3.4,1.31,1.4,2
Riddle Esports,11,EUW,32,0.531,1.01,1801,48,1900-01-01 08:55:00,14.3,14.1,5.8,6.3,59.4,43.8,47.599999999999994,2.47,52.6,2.8,40.6,47.25,1.0,-0.2,671.0,4.18,0.78,52.7,32.5,2031.0,3.1,1.2,1.21,3
RJ Academy,11,JP,9,0.222,0.7,1637,-173,1900-01-01 11:28:00,11.6,16.6,4.0,7.6,44.4,44.4,47.599999999999994,2.0,38.6,2.8,22.2,47.25,0.44,0.0,-27.0,4.18,0.22,10.4,30.8,1856.0,3.6,1.42,1.46,3
Rogue,11,EUW,72,0.583,1.19,1839,89,1900-01-01 09:32:00,14.8,12.5,7.0,5.4,55.6,68.1,47.599999999999994,2.24,49.7,2.8,50.7,47.25,0.85,0.6,1295.0,4.63,0.71,52.9,33.3,1918.0,3.3,1.05,1.44,2
Rogue Warriors,11,CN,77,0.26,0.68,1677,-231,1900-01-01 06:47:00,10.8,15.9,3.6,7.6,32.5,31.2,47.599999999999994,1.69,37.0,2.8,51.4,47.25,0.76,-0.1,-1175.0,4.18,0.4,29.5,31.6,1796.0,3.2,1.19,1.4,1
Romulea eSport,11,IT,15,0.333,0.82,1663,-169,1900-01-01 08:41:00,14.3,17.5,4.2,6.9,40.0,26.7,47.599999999999994,2.33,43.5,2.8,26.7,47.25,1.0,-0.7,-1405.0,4.18,0.6,43.2,29.4,1873.0,3.2,1.3,1.25,3
RoX,11,CIS,27,0.259,0.58,1635,-267,1900-01-01 05:46:00,9.7,16.6,4.0,8.3,48.1,18.5,47.599999999999994,1.44,32.2,2.8,35.2,47.25,0.74,-0.6,-1530.0,4.18,0.37,25.9,30.2,1675.0,3.0,1.25,1.17,3
Royal Never Give Up,11,CN,143,0.678,1.3,1883,145,1900-01-01 07:39:00,16.3,12.5,7.1,4.3,60.1,65.7,47.599999999999994,2.49,55.5,2.8,54.3,47.25,0.96,0.5,1067.0,5.42,0.87,62.9,33.2,2040.0,3.6,1.35,1.65,1
S2V Esports,11,ES,37,0.378,0.86,1719,-61,1900-01-01 09:09:00,12.5,14.5,5.1,6.7,48.6,32.4,47.599999999999994,2.27,49.1,2.8,41.9,47.25,0.95,-0.2,-692.0,4.18,0.68,47.7,31.3,1953.0,3.2,1.37,1.36,3
Saigon Buffalo,11,VN,77,0.532,1.09,1820,17,1900-01-01 05:52:00,16.3,14.9,6.1,5.4,51.9,61.0,47.599999999999994,2.36,55.7,2.8,64.3,47.25,1.01,0.3,680.0,4.48,0.65,52.0,31.6,2104.0,3.6,1.43,1.54,3
SAIM SE SuppUp,11,RS,30,0.733,1.26,1869,169,1900-01-01 05:32:00,15.6,12.2,7.5,3.8,50.0,63.3,47.599999999999994,2.6,62.1,2.8,58.3,47.25,1.2,0.3,825.0,4.18,0.87,67.9,32.2,1901.0,3.0,1.06,1.27,3
Samsung Morning Stars,11,IT,46,0.457,0.89,1726,-55,1900-01-01 06:17:00,13.0,14.6,5.0,6.3,43.5,39.1,47.599999999999994,2.15,49.0,2.8,48.9,47.25,1.07,-0.2,-347.0,4.18,0.57,45.1,30.9,1881.0,3.2,1.26,1.18,3
SBTC Esports,11,VN,67,0.418,0.79,1764,-126,1900-01-01 06:05:00,13.8,17.5,5.1,6.7,41.8,38.8,47.599999999999994,1.78,41.1,2.8,44.0,47.25,0.7,-0.4,-1063.0,4.41,0.69,46.6,31.8,1953.0,3.1,1.24,1.47,3
Sector One,11,BE,53,0.623,1.23,1845,152,1900-01-01 08:05:00,16.8,13.7,7.2,4.5,58.5,60.4,47.599999999999994,2.43,52.1,2.8,50.9,47.25,0.85,0.4,1211.0,4.18,0.91,70.6,32.4,2105.0,3.0,1.14,1.18,3
Sengoku Gaming,11,JP,37,0.486,1.03,1740,5,1900-01-01 08:59:00,11.6,11.2,5.6,5.8,43.2,56.8,47.599999999999994,2.84,61.6,2.8,44.6,47.25,1.14,0.2,280.0,4.18,0.84,54.2,32.3,1769.0,3.4,1.35,1.64,3
SG Academy,11,JP,9,0.111,0.54,1605,-306,1900-01-01 08:35:00,11.4,21.1,2.3,8.6,44.4,22.2,47.599999999999994,2.0,37.8,2.8,27.8,47.25,1.11,-0.7,-2011.0,4.18,0.44,25.0,29.6,1752.0,2.9,1.41,1.26,3
SHG Academy,11,JP,9,0.556,1.0,1786,30,1900-01-01 05:49:00,14.9,14.9,5.7,5.2,44.4,55.6,47.599999999999994,2.0,46.3,2.8,44.4,47.25,1.0,-0.1,-464.0,4.18,0.67,50.0,31.7,1823.0,3.4,1.38,1.3,3
Shu Dai Xiong Gaming,11,CN,4,0.25,0.62,1764,-273,1900-01-01 01:56:00,12.3,19.8,3.5,8.0,25.0,25.0,47.599999999999994,0.75,15.0,2.8,25.0,47.25,0.25,-1.3,-3056.0,4.18,0.25,33.3,31.6,1805.0,2.8,1.18,1.15,1
SINNERS Esports,11,CZ,73,0.521,0.98,1801,22,1900-01-01 06:01:00,16.1,16.5,6.3,5.4,45.2,65.8,47.599999999999994,2.18,51.2,2.8,61.0,47.25,0.93,0.3,712.0,4.18,0.62,51.5,30.4,2166.0,3.0,1.23,1.18,3
SK Gaming,11,EUW,40,0.35,0.82,1710,-139,1900-01-01 08:00:00,11.3,13.7,4.6,7.4,45.0,40.0,47.599999999999994,1.73,38.9,2.8,42.5,47.25,0.73,-0.4,-1046.0,4.18,0.48,34.2,32.7,1748.0,3.1,1.14,1.34,2
SK Gaming Prime,11,DE,55,0.527,1.02,1844,56,1900-01-01 07:03:00,16.0,15.6,6.5,5.9,45.5,41.8,47.599999999999994,2.15,47.5,2.8,33.6,47.25,0.93,-0.3,-270.0,4.18,0.71,53.2,32.1,2061.0,3.1,1.17,1.2,3
SoftBank Hawks Gaming,11,JP,36,0.361,0.87,1703,-70,1900-01-01 09:48:00,11.8,13.4,4.8,6.6,50.0,38.9,47.599999999999994,2.44,48.8,2.8,50.0,47.25,1.03,0.0,209.0,4.18,0.42,30.7,32.1,1746.0,3.3,1.29,1.51,3
Solary,11,FR,43,0.512,0.98,1749,-32,1900-01-01 09:21:00,14.3,14.6,5.9,6.3,41.9,41.9,47.599999999999994,2.37,46.5,2.8,55.8,47.25,0.74,-0.3,-521.0,4.18,0.93,52.7,30.9,1956.0,3.2,1.3,1.32,3
Solary Academy,11,FR,18,0.556,1.09,1775,5,1900-01-01 08:28:00,16.6,15.2,6.2,5.6,61.1,38.9,47.599999999999994,2.22,48.8,2.8,44.4,47.25,0.72,-0.2,-57.0,4.18,0.78,59.3,30.7,2162.0,2.9,1.1,1.24,3
Split Raiders,11,RS,28,0.536,0.89,1770,32,1900-01-01 06:23:00,12.1,13.7,5.9,5.4,60.7,46.4,47.599999999999994,2.57,55.2,2.8,62.5,47.25,1.18,-0.2,590.0,4.18,0.5,43.5,32.2,1793.0,2.9,1.15,1.17,3
Starlan Gaming Club,11,BE,10,0.3,0.63,1667,-295,1900-01-01 06:21:00,13.7,21.6,3.5,8.5,20.0,20.0,47.599999999999994,1.8,39.0,2.8,35.0,47.25,1.0,-0.8,-1904.0,4.18,0.6,31.7,29.1,2066.0,2.2,0.94,0.91,3
STOPWATCH eSports,11,CZ,14,0.214,0.64,1608,-293,1900-01-01 07:47:00,11.0,17.1,3.0,8.5,14.3,28.6,47.599999999999994,2.0,36.7,2.8,17.9,47.25,0.79,-0.9,-2388.0,4.18,0.57,30.4,29.1,1591.0,2.7,1.02,1.07,3
Suning,11,CN,93,0.581,1.28,1819,94,1900-01-01 08:15:00,13.9,10.8,6.0,5.0,53.8,43.0,47.599999999999994,2.27,51.1,2.8,55.6,47.25,0.66,0.0,341.0,4.18,0.6,53.3,33.7,1980.0,3.8,1.4,1.68,1
SuperMassive Blaze,11,TR,46,0.63,1.17,1786,51,1900-01-01 09:25:00,15.8,13.4,6.3,5.7,47.8,37.0,47.599999999999994,2.54,54.9,2.8,34.1,47.25,1.2,-0.1,-61.0,4.18,0.87,59.8,31.4,1985.0,2.9,1.21,1.36,3
Supernova,11,NA,5,0.2,0.5,1631,-305,1900-01-01 07:27:00,10.4,20.6,3.6,9.0,60.0,60.0,47.599999999999994,0.8,15.3,2.8,50.0,47.25,0.4,0.4,-1819.0,4.18,0.0,0.0,28.7,1904.0,3.2,1.27,1.36,2
T1,11,KR,125,0.6,1.2,1821,98,1900-01-01 09:34:00,12.6,10.5,7.0,5.2,62.4,65.6,47.599999999999994,2.23,51.1,2.8,58.8,47.25,0.7,0.5,1181.0,7.0,0.81,56.9,33.6,1859.0,3.9,1.58,1.76,1
T1 Challengers,11,KR,45,0.578,1.18,1810,73,1900-01-01 06:52:00,14.7,12.4,5.7,4.8,57.8,51.1,47.599999999999994,2.4,57.3,2.8,56.7,47.25,1.07,0.2,305.0,4.18,0.78,61.7,33.0,1962.0,3.2,1.28,1.63,1
